Unnamed: 0,Subject,Event,TrialN,mean_pupil,time
348,Subject_1,Simple,10,-0.410433460800397,1350
349,Subject_1,Simple,10,-0.427780756300732,1400
350,Subject_1,Simple,10,-0.457248362668987,1450
351,Subject_1,Simple,10,-0.472789066514371,1500
352,Subject_1,Simple,10,-0.520676304791132,1550
353,Subject_1,Simple,10,-0.522398304271377,1600
354,Subject_1,Simple,10,-0.548354547919641,1650
355,Subject_1,Simple,10,-0.559871268650832,1700
356,Subject_1,Simple,10,-0.569123970428716,1750
357,Subject_1,Simple,10,-0.520843132412752,1800
358,Subject_1,Simple,10,-0.517133732116721,1850
359,Subject_1,Simple,10,-0.456389818711161,1900
360,Subject_1,Simple,10,-0.456389818711161,1950
361,Subject_2,Circle,1,0.0007063792968544,0
362,Subject_2,Circle,1,-0.0287369529847821,50
363,Subject_2,Circle,1,-0.0128628238300008,100
364,Subject_2,Circle,1,-0.018066343290283,150
365,Subject_2,Circle,1,0.0121325891741844,200
366,Subject_2,Circle,1,0.0060367095731805,250
367,Subject_2,Circle,1,0.0039946061476561,300
368,Subject_2,Circle,1,0.0100706473696048,350
369,Subject_2,Circle,1,0.0370908071347849,400
370,Subject_2,Circle,1,0.0699557309679584,450
371,Subject_2,Circle,1,0.0531187144348766,500
372,Subject_2,Circle,1,0.0832217326527118,550
373,Subject_2,Circle,1,0.109339861157717,600
374,Subject_2,Circle,1,0.124115477344255,650
375,Subject_2,Circle,1,0.176689846173123,700
376,Subject_2,Circle,1,0.168489380600913,750
377,Subject_2,Circle,1,0.193801309473881,800
378,Subject_2,Circle,1,0.225515285556766,850
379,Subject_2,Circle,1,0.248732752532796,900
380,Subject_2,Circle,1,0.236881236576601,950
381,Subject_2,Circle,1,0.241677534481614,1000
382,Subject_2,Circle,1,0.236346372902676,1050
383,Subject_2,Circle,1,0.242275079841953,1100
384,Subject_2,Circle,1,0.205827131850013,1150
385,Subject_2,Circle,1,0.182934138564226,1200
386,Subject_2,Circle,1,0.13750634303074,1250
387,Subject_2,Circle,1,0.0931250301514095,1300
388,Subject_2,Circle,1,0.0487437172720786,1350
389,Subject_2,Circle,1,0.0043624043927472,1400
390,Subject_2,Circle,1,-0.0400189084865836,1450
391,Subject_2,Circle,1,-0.0739384353124031,1500
392,Subject_2,Circle,1,-0.106304375720452,1550
393,Subject_2,Circle,1,-0.137306708881152,1600
394,Subject_2,Circle,1,-0.160784518356679,1650
395,Subject_2,Circle,1,-0.187384490737104,1700
396,Subject_2,Circle,1,-0.197960682407184,1750
397,Subject_2,Circle,1,-0.216634930602668,1800
398,Subject_2,Circle,1,-0.225565565288283,1850
399,Subject_2,Circle,1,-0.252668591184319,1900
400,Subject_2,Circle,1,-0.269563311791896,1950
401,Subject_2,Simple,2,-0.0041068091025264,0
402,Subject_2,Simple,2,0.0042678864339533,50
403,Subject_2,Simple,2,0.0162417714000935,100
404,Subject_2,Simple,2,0.0540595124609533,150
405,Subject_2,Simple,2,0.0454816501458986,200
406,Subject_2,Simple,2,0.0684895990525782,250
407,Subject_2,Simple,2,0.0856036591189735,300
408,Subject_2,Simple,2,0.104206982527009,350
409,Subject_2,Simple,2,0.119187291227833,400
410,Subject_2,Simple,2,0.139695921545749,450
411,Subject_2,Simple,2,0.163640011024583,500
412,Subject_2,Simple,2,0.171109278156648,550
413,Subject_2,Simple,2,0.205474942702373,600
414,Subject_2,Simple,2,0.222604339252123,650
415,Subject_2,Simple,2,0.216981835195728,700
416,Subject_2,Simple,2,0.231797443066285,750
417,Subject_2,Simple,2,0.222857339246548,800
418,Subject_2,Simple,2,0.213917235426811,850
419,Subject_2,Simple,2,0.204977131607075,900
420,Subject_2,Simple,2,0.196037027787338,950
421,Subject_2,Simple,2,0.187096923967601,1000
422,Subject_2,Simple,2,0.182231031009929,1050
423,Subject_2,Simple,2,0.182231031009929,1100
424,Subject_2,Simple,2,0.170864893015273,1150
425,Subject_2,Simple,2,0.178113200074163,1200
